study_accession	brief_title	study_pubmed.pubmed_id	study_categorization.research_focus	latest_data_release_version	latest_data_release_date
"SDY460"	"B and T Cell Determinants of Influenza Vaccine Responses in the Elderly 2008 (see companion study SDY773)"	"24337376"	"Vaccine Response"	"DR26"	"2018-05-10"
"SDY461"	"Monitoring of tissue-specific immune responses in man to naturally occurring pathogens using mass cytometric monitoring"	""	"Immune Response"	"DR18"	"2016-03-18"
"SDY465"	"Exploring the human maternal microbiome and its contribution to preterm birth"	"26283357"	"Preterm Birth"	"DR27"	"2018-07-06"
"SDY471"	"Treatment of MS with Copaxone and Albuterol (AMS01)"	"20837847"	"Autoimmune"	"DR15"	"2015-09-18"
"SDY472"	"Plasmablast response to inactivated and live attenuated influenza vaccines (TIV3/TIV3 ID) in SLVP021 2013"	""	"Vaccine Response"	"DR26"	"2018-05-10"
"SDY473"	"Lovastatin Therapy in Rheumatoid Arthritis (ARA02)"	""	"Autoimmune"	"DR15"	"2015-09-18"
"SDY474"	"Vitamin D3 in Systemic Lupus Erythematosus (ALE02)"	"25777546"	"Autoimmune"	"DR15"	"2015-09-18"
"SDY475"	"Characterization of the human maternal immune response 6 months or greater post delivery via cytometry Time-of-Flight(CyTOF)."	"26190063"	"Preterm Birth"	"DR21"	"2017-04-21"
"SDY478"	"T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination SLVP015 2013"	"30842675"	"Vaccine Response"	"DR26"	"2018-05-10"
"SDY479"	"Urinary cell mRNA profiles of rejection (CTOT-04)"	"23822777","26047788"	"Transplantation"	"DR19"	"2016-06-17"
"SDY506"	"CD107 CTL assay"	""	"Vaccine Response"	"DR18"	"2016-03-18"
"SDY508"	"Humoral responses to West Nile virus"	""	"Immune Response"	"DR18"	"2016-03-18"
"SDY514"	"Monozygotic and Dizygotic Twin Pair T-Cell Responses to Influenza Vaccination SLVP018 2009"	"25594173"	"Vaccine Response"	"DR26"	"2018-05-10"
"SDY515"	"Monozygotic and Dizygotic Twin Pair T-Cell Responses to Influenza Vaccination SLVP018 2010"	"25594173"	"Vaccine Response"	"DR26"	"2018-05-10"
"SDY517"	"Natural Killer cells in resistance to infection with West Nile virus"	""	"Immune Response"	"DR18"	"2016-03-18"
"SDY519"	"Monozygotic and Dizygotic Twin Pair T-Cell Responses to Influenza Vaccination SLVP018 2011"	"25594173"	"Vaccine Response"	"DR26"	"2018-05-10"
"SDY520"	"Immunologic and genomic signatures of influenza vaccine response - 2013 (see companion studies SDY63, SDY404, SDY400)"	""	"Vaccine Response"	"DR29"	"2019-01-16"
"SDY522"	"Differences in Antibody Responses Between Trivalent Inactivated Influenza Vaccine and Live Attenuated Influenza Vaccine (2011-12) Correlate With the Kinetics and Magnitude of Interferon Signaling in Children  (see companion studies SDY144, SDY360)"	"24495909"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY523"	"Peptide display hierarchy protocol"	""	"Immune Response"	"DR18"	"2016-03-18"
"SDY524"	"AbATE ITN027AI:  Autoimmunity-blocking Antibody for Tolerance in Recently Diagnosed Type 1 Diabetes"	"23835333","28664195"	"Autoimmune"	"DR19"	"2016-06-17"
"SDY545"	"GPAC ITN025AD: Promoting Tolerance to Common Allergens in High-Risk Children:  Global Prevention of Asthma in Children"	"23768574"	"Atopy/Allergy"	"DR16"	"2015-12-14"
"SDY546"	"FACTOR ITN507ST:  Study of Tolerant Kidney Transplant Recipients"	"20501946","22151236","26461968"	"Transplantation"	"DR20"	"2017-01-31"
"SDY547"	"STAyCIS ITN020AI:  Atorvastatin (Lipitor) Therapy in Patients with Clinically Isolated Syndrome (CIS) at Risk for Multiple Sclerosis"	"22459680"	"Autoimmune"	"DR16"	"2015-12-14"
"SDY549"	"HALT-MS ITN033AI: High-Dose Immunosuppression and Autologous Transplantation for Multiple Sclerosis "	"25546364"	"Autoimmune"	"DR16"	"2015-12-14"
"SDY557"	"Noninvasive Monitoring in Kidney Transplantation (CTOT-01)"	"23710568","23763485","23802725","23968332","24568099","26226830"	"Transplantation"	"DR19"	"2016-06-17"
"SDY564"	"Immune Responses to Seasonal TIV 2012-2013 Influenza Vaccination in Humans (see companion study SDY396,SDY224)"	""	"Vaccine Response"	"DR23"	"2017-09-29"
"SDY565"	"IL2-RAPA ITN018AI:  Proleukin and Rapamune in Type 1 Diabetes Mellitus"	"22721971"	"Autoimmune"	"DR19"	"2016-06-17"
"SDY567"	"Shapiro ITN005CT:  Islet Transplantation in Type 1 Diabetic Patients"	"15257060","17005949"	"Transplantation"	"DR19"	"2016-06-17"
"SDY568"	"Orban ITN012AI: Evaluation of Diabetes Vaccine IBC-VSO1 in Newly Diagnosed Diabetics"	"19931408"	"Autoimmune"	"DR19"	"2016-06-17"
"SDY569"	"Herold II ITN007AI:  Treatment with hOKT3-gamma-1 (Ala-Ala) in Type 1 Diabetes Mellitus"	""	"Autoimmune"	"DR19"	"2016-06-17"
"SDY570"	"UT_SSc"	"25184637"	"Autoimmune"	"DR29"	"2019-01-16"
"SDY571"	"Observational Study of Alloimmunity in Cardiac Transplant Recipients (CTOT-05)"	"23763485","26260101","30010623"	"Transplantation"	"DR19"	"2016-06-17"
"SDY572"	"Host responses to Enteroaggregative Escherichia coli (EAEC) infection"	"25483331"	"Infection Response"	"DR21"	"2017-04-21"
"SDY579"	"Assessing the role of NLRX1 during mucosal immune responses to H. pylori in mice"	"26367386"	"Infection Response"	"DR21"	"2017-04-21"
"SDY583"	"Immune Responses to Seasonal Influenza Vaccination in Mouse model"	""	"Vaccine Response"	"DR23"	"2017-09-29"
"SDY585"	"2013 Murine Vaccine with Adjuvant Study"	""	"Vaccine Response"	"DR23"	"2017-09-29"
"SDY587"	"Effect of tissue-specific PPARg deficiency in bacterial loads"	""	"Infection Response"	"DR21"	"2017-04-21"
"SDY588"	"Zinc and tryptophan effects on immunology"	""	"Infection Response"	"DR21"	"2017-04-21"
"SDY591"	"Cdiff32"	""	"Infection Response"	"DR23"	"2017-09-29"
"SDY597"	"DC transcriptomics in response to vaccines"	"25335753"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY598"	"HP45"	""	"Infection Response"	"DR21"	"2017-04-21"
"SDY601"	"HP47"	""	"Infection Response"	"DR21"	"2017-04-21"
"SDY614"	"Mayo Clinic Smallpox Vaccine Immunogenetics Replication Study"	"22542470","28158231"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY616"	"Interferon Responses in Eczema Herpeticum (ADRN-01)"	"25159465","29371118"	"Atopy/Allergy"	"DR30"	"2019-04-12"
"SDY618"	"ADRN Influenza Vaccine Pilot (ADRN-03)"	""	"Vaccine Response"	"DR23"	"2017-09-29"
"SDY619"	"ADRN Barrier/Immunoprofiling Exploratory Pilot Study (ADRN-04)"	"27981233","28244066"	"Infection Response"	"DR23"	"2017-09-29"
"SDY620"	"Atopic Dermatitis Research Network (ADRN) Influenza Vaccine Study (ADRN-05)"	"28209343"	"Vaccine Response"	"DR23"	"2017-09-29"
"SDY622"	"Humoral responses to Influenza vaccination in aged populations - Year 2 2012 (See companion studies SDY272 2011, SDY648 2013, SDY739 2014, SDY819 2015)"	"23674565","24155927","25172499","26277622","26637961"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY625"	"Anti-CD20 in SLE (AC002)"	"18226586","18250115"	"Autoimmune"	"DR22"	"2017-06-16"
"SDY640"	"Immunologic and genomic signatures of influenza vaccine response - 2014"	""	"Vaccine Response"	"DR18"	"2016-03-18"
"SDY644"	"Effect of Influenza A (H5N1) Vaccine Prepandemic Priming on CD4+ T-Cell Responses"	"25378637"	"Infection Response"	"DR15"	"2015-09-18"
"SDY645"	"Systems Biology Approach to Study Influenza Vaccine in Children with Autoimmunity (Juvenile Dermatomyositis JDM) 2014/2015 Cohort (see companion studies SDY369, SDY376, SDY372)"	""	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY646"	"Repeated In Vivo Stimulation of T and B Cell Responses"	"21339368"	"Immune Response"	"DR15"	"2015-09-18"
"SDY647"	"Age-associated alterations in CD8a+ dendritic cells impair CD8"	"22862959"	"Immune Response"	"DR15"	"2015-09-18"
"SDY648"	"Humoral responses to Influenza vaccination in aged populations - Year 3 2013 (See companion studies SDY272 2011, SDY622 2012, SDY739 2014, SDY819 2015)"	"23674565","24155927","25172499","26277622","26637961"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY649"	"Two separate defects affecting true naive or virtual memory T cell precursors combine to reduce naive T cell responses with aging."	"24293630"	"Immune Response"	"DR15"	"2015-09-18"
"SDY651"	"WNV induces pro-apoptotic miRNA"	"22345437"	"Infection Response"	"DR15"	"2015-09-18"
"SDY652"	"Mouse recombination path counting on a gpu"	"TBD_B"	"Immune Response"	"DR15"	"2015-09-18"
"SDY653"	"Immune Memory Boosting Dose of Rapamycin Impairs Macrophage Vesicle Acidification and Curtails Glycolysis in Effector CD8 Cells, Impairing Defense against Acute Infections"	"24913978"	"Immune Response"	"DR15"	"2015-09-18"
"SDY654"	"Lifespan-extending caloric restriction or mTOR inhibition impair adaptive immunity of old mice by distinct mechanisms."	"25424641"	"Immune Response"	"DR15"	"2015-09-18"
"SDY655"	"Use of Infliximab for the Treatment of Pemphigus Vulgaris (APV01)"	"25123295"	"Autoimmune"	"DR22"	"2017-06-16"
"SDY656"	"Histone deacetylation critically determines T cell subset radiosensitivity."	"24990082"	"Immune Response"	"DR15"	"2015-09-18"
"SDY659"	"Contrasting effects of chronic, systemic treatment with mTOR inhibitors rapamycin and metformin on adult neural progenitors in mice"	"23949159"	"Immune Response"	"DR15"	"2015-09-18"
"SDY660"	"LEAP ITN032AD: Induction of Tolerance through Early Introduction of Peanut in High-Risk Children, LEAP-On ITN049AD: The Persistence of Oral Tolerance Induction to Peanut and Its Immunological Basis"	"23174658","25705822","26942922","27297994"	"Atopy/Allergy"	"DR21"	"2017-04-21"
"SDY661"	"Khoury ITN006AI: NMS02 Safety of RG2007 (CTLA4-IgG4m) in Patients with Multiple Sclerosis"	"18794494"	"Autoimmune"	"DR16"	"2015-12-14"
"SDY662"	"WISP-R ITN029ST: Withdrawal of Immunosuppression in Pediatric Liver Transplant Recipients"	"22253395"	"Transplantation"	"DR17"	"2016-02-05"
"SDY663"	"Self-recognition drives the preferential accumulation of promiscuous CD4+ T-cells in aged mice"	"26173205"	"Immune Response"	"DR15"	"2015-09-18"
"SDY667"	"The immune signature of palmoplantar pustulosis"	""	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY668"	"Miller-Burke ITN022ST: Using Donor Stem Cells and Alemtuzumab to Prevent Organ Rejection in Kidney Transplant Patients"	""	"Transplantation"	"DR17"	"2016-02-05"
"SDY670"	"Molecular Profiling of Donor and Recipient Proinflammatory and Allograft Response (CTOT-03)"	"20677285","23710539","28117940"	"Transplantation"	"DR27"	"2018-07-06"
"SDY671"	"Knechtle ITN013ST: Combination Immunosuppressive Therapy to Prevent Kidney Transplant Rejection in Adults"	"19344431","26461968"	"Transplantation"	"DR23"	"2017-09-29"
"SDY673"	"Characterization of maternal serum gene expression and microbiome"	"28904056"	"Preterm Birth"	"DR27"	"2018-07-06"
"SDY674"	"Vincenti ITN023ST:  Belatacept to Prevent Organ Rejection in Kidney Transplant Patients"	"16120857"	"Transplantation"	"DR17"	"2016-02-05"
"SDY675"	"Heritable influence on the  B and T cell receptor repertoire"	"27005435"	"Immune Response"	"DR26"	"2018-05-10"
"SDY680"	"Human Elispot Assay with peptide."	"25646416"	"Immune Response"	"DR16"	"2015-12-14"
"SDY689"	"B-Cell depletion by anti-CD20 in renal allograft recipients who develop de novo anti-HLA alloantibodies (CCTPT-02/CTOT-02)"	""	"Transplantation"	"DR19"	"2016-06-17"
"SDY690"	"Systems Biology Study to Investigate Immune Correlates to Hepatitis B Vaccine Engerix-B comparing cellular responses and gene expression patterns between PBMCs (cell sorts) and whole blood samples (see companion studies SDY816 and SDY299)"	"22342916","23727002","26067185","29289383"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY691"	"HLA and KIR Haplotype Sequencing"	"27486779","28360230"	"Immune Response"	"DR22"	"2017-06-16"
"SDY702"	"Human T Cell Profile"	"25417158"	"Immune Response"	"DR18"	"2016-03-18"
"SDY720"	"Age-related alterations in innate immune responses (See companion study SDY736)"	"25728020"	"Immune Response"	"DR19"	"2016-06-17"
"SDY736"	"Human Aging and CMV"	"24501199","27270402"	"Immune Response"	"DR16"	"2015-12-14"
"SDY739"	"Humoral responses to Influenza vaccination in aged populations - Year 4 2014 (See companion studies SDY272 2011, SDY622 2012, SDY648 2013, SDY819 2015)"	"23674565","24155927","25172499","26277622","26637961"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY746"	"Innate Immune Pathways in Elderly and Immunosuppressed Populations 2012"	""	"Vaccine Response"	"DR23"	"2017-09-29"
"SDY751"	"MS3 peptide detection"	"25646416"	"Vaccine Response"	"DR21"	"2017-04-21"
"SDY753"	"Investigating Alterations to the Nasal Microbiome after Vaccination with LAIV"	""	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY756"	"Histology post influenza"	""	"Immune Response"	"DR19"	"2016-06-17"
"SDY773"	"B and T Cell Determinants of Influenza Vaccine Responses in the Elderly SLVP015 2009 (see companion study SDY460)"	"24337376"	"Vaccine Response"	"DR26"	"2018-05-10"
"SDY775"	"Evaluating differences between healthy placental microbiome and contamination control sample microbiomes"	"27338728"	"Preterm Birth"	"DR27"	"2018-07-06"
"SDY776"	"Causal Relationship of Maternal Height on Birth Size and Gestational Age at Birth"	"21533219","26284790"	"Preterm Birth"	"DR24"	"2017-11-07"
"SDY788"	"Immune Profiles to Predict Response to Desensitization Therapy in Highly HLA-Sensitized Kidney Transplant Candidates"	"27078882"	"Transplantation"	"DR24"	"2017-11-07"
"SDY789"	"Temporal Response to seasonal and pandemic H1N1 infection in human DCs"	"26223639"	"Infection Response"	"DR19"	"2016-06-17"
"SDY797"	"T1DAL ITN045AI: Inducing Remission in New Onset Type 1 Diabetes Mellitus with Alefacept(Amevive) "	"24622414","26193635"	"Autoimmune"	"DR19"	"2016-06-17"
"SDY798"	"Diamond-Wofsy ITN002AI: Treating Systemic Lupus Erythematosus (SLE) Patients with CTLA4-IgG4m (RG2077) "	"15807196"	"Autoimmune"	"DR19"	"2016-06-17"
"SDY816"	"Systems Biology Analysis of the response to Licensed Hepatitis B Vaccine (HEPLISAV) in specific cell subsets (see companion studies SDY299 and SDY690)"	"22342916","23727002","26067185","29289383"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY819"	"Humoral responses to Influenza vaccination in aged populations - Year 5 2015 (See companion studies SDY272 2011, SDY622 2012, SDY648 2013, SDY739 2014)"	"23674565","24155927","25172499","26277622","26637961"	"Vaccine Response"	"DR23"	"2017-09-29"
"SDY820"	"Human Immune Signature of Mycobacterium Tuberculosis infection. (See SDY1324 for sorted cell gene expression data)"	"28069807","29602771"	"Vaccine Response"	"DR29"	"2019-01-16"
"SDY823"	"Baminercept in Sjogren's Syndrome (ASJ02)"	"29604186"	"Autoimmune"	"DR28"	"2018-09-21"
"SDY824"	"Anti-TNF Agents in RA (ARA06)"	""	"Autoimmune"	"DR22"	"2017-06-16"
"SDY827"	"An Interactive Reference Framework for Modeling a Dynamic Immune System"	"26160952"	"Immune Response"	"DR20"	"2017-01-31"
"SDY839"	"Measles Immunity"	"28158231"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY857"	"Prevention of Cardiac Allograft Vasculopathy Using Rituximab (Rituxan) Therapy in Cardiac Transplantation (CTOT-11)"	"31272550"	"Transplantation"	"DR29"	"2019-01-16"
"SDY873"	"Modeling Viral Immunity and Antagonism in Dendritic Cells"	""	"Immune Response"	"DR23"	"2017-09-29"
"SDY887"	"Defective signaling in aging, influenza vaccination 2007 SLVP015"	"27746093"	"Vaccine Response"	"DR32"	"2019-09-16"
"SDY888"	"Human Immune Signature of Dengue virus infection- Gene Expression of CD4 subsets"	"29133794"	"Infection Response"	"DR32"	"2019-09-16"
"SDY901"	"Activation of the PD-1 Pathway Contributes to Immune Escape in EGFR-Driven Lung Tumors"	"24078774"	"Oncology"	"DR23"	"2017-09-29"
"SDY903"	"Human Immune Signature of Zika virus infection"	""	"Infection Response"	"DR29"	"2019-01-16"
"SDY939"	"Pathologically expanded peripheral B cell-helper T cells in Rheumatoid Arthritis"	"28150777"	"Vaccine Response"	"DR21"	"2017-04-21"
"SDY951"	"Immune Development in Pediatric Transplantation (CTOTC-02)"	"24568099","27989013"	"Transplantation"	"DR28"	"2018-09-21"
"SDY960"	"Viral Triggers in Pediatric Lung Transplantation (CTOTC-03)"	"27941431","28639398","29082660","31216376"	"Transplantation"	"DR29"	"2019-01-16"
"SDY961"	"Use of Rituximab for Sjogren's Syndrome (ASJ01)"	"23334994"	"Autoimmune"	"DR22"	"2017-06-16"
"SDY983"	"A Mouse Model of Chronic West Nile Virus"	"27806117"	"Infection Response"	"DR21"	"2017-04-21"
"SDY984"	"Zoster vaccine in young and elderly"	"28502771"	"Vaccine Response"	"DR30"	"2019-04-12"
"SDY997"	"AMP Lupus Network Project: Molecular Characterization of Lupus Nephritis and Correlation with Response to Therapy"	"31110316","31209404"	"Autoimmune"	"DR30"	"2019-04-12"
"SDY998"	"AMP Rheumatoid Arthritis Phase 1"	"31061532"	"Autoimmune"	"DR30"	"2019-04-12"
"SDY1015"	"MaHPIC: Host M. mulatta infected with P. cynomolgi"	"27590312"	"Infection Response"	"DR21"	"2017-04-21"
"SDY1025"	"Asthma Phenotypes in the Inner City (APIC/ICAC-19)"	"27720016","27720017","27720018","29146272","30059697","30213627"	"Atopy/Allergy"	"DR32"	"2019-09-16"
"SDY1026"	"Biomarkers of Cockroach Sublingual Immunotherapy 2 (BioCSI 2/ICAC-17)"	"24184147"	"Atopy/Allergy"	"DR32"	"2019-09-16"
"SDY1027"	"The Role of Epigenetics in Inner City Asthma (ICAC-15)"	"25769910"	"Atopy/Allergy"	"DR32"	"2019-09-16"
"SDY1028"	"Preventative Omalizumab or Step-up Therapy for Severe Fall Exacerbations (PROSE/ICAC-20)"	"26518090","30529451","31201890"	"Atopy/Allergy"	"DR32"	"2019-09-16"
"SDY1029"	"Subcutaneous Immunotherapy for Cockroach (SCITCO/ICAC-18)"	"24184147"	"Atopy/Allergy"	"DR29"	"2019-01-16"
"SDY1039"	"Scleroderma: Cyclophosphamide or Transplantation (SCOT)"	"23418384","27213276","29298160"	"Autoimmune"	"DR25"	"2018-01-04"
"SDY1041"	"CMV CD8 T Cells"	"28130404"	"Immune Response"	"DR31"	"2019-06-19"
"SDY1043"	"A Haystack Heuristic for Autoimmune Disease Biomarker Discovery Using Next-Gen Immune Repertoire Sequencing Data"	""	"Immune Response"	"DR22"	"2017-06-16"
"SDY1045"	"KIR and HLA in MS"	"29307888"	"Autoimmune"	"DR25"	"2018-01-04"
"SDY1064"	"An Arntl2-Driven Secretome Enables Lung Adenocarcinoma Metastatic Self-Sufficiency"	"27150038"	"Oncology"	"DR22"	"2017-06-16"
"SDY1079"	"A targetable CD109-Janus kinase-Stat axis in metastatic lung cancer."	"28191885"	"Oncology"	"DR22"	"2017-06-16"
"SDY1085"	"RNAseq of Tumor-Associated Microglia Reveals Ccl5 as a Stromal Chemokine Critical for NF1 Glioma Growth"	"26585233"	"Oncology"	"DR22"	"2017-06-16"
"SDY1086"	"Responses to Inactivated Influenza Vaccine (IIV) in adults with or without antibiotics"	"31491384"	"Vaccine Response"	"DR32"	"2019-09-16"
"SDY1092"	"Transcriptional responses induced by controlled human malaria infection (CHMI)"	"25070995"	"Infection Response"	"DR29"	"2019-01-16"
"SDY1093"	"Apc Restoration in Colorectal Cancer"	"26091037"	"Oncology"	"DR22"	"2017-06-16"
"SDY1094"	"A Retrospective Multicenter Study to Determine 5-Year Clinical Outcomes in Subjects Previously Enrolled in the CTOT-01 Study (CTOT-17)"	"29189482"	"Transplantation"	"DR28"	"2018-09-21"
"SDY1095"	"A Retrospective Multicenter Study to Determine 4-Year Clinical Outcomes in Subjects Previously Enrolled in the CTOT-05 Study (CTOT-18)"	"26260101","30549425"	"Transplantation"	"DR29"	"2019-01-16"
"SDY1097"	"Early-life compartmentalization of human T cells"	"26657141"	"Immune Response"	"DR22"	"2017-06-16"
"SDY1099"	"DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into AML"	"27016502"	"Oncology"	"DR22"	"2017-06-16"
"SDY1100"	"Project 3 - Optimization experiments DCs DV2 and DV4 - CyTOF"	"28679950","N/A"	"Infection Response"	"DR23"	"2017-09-29"
"SDY1108"	"Systemic Immunity for Cancer Immunotherapy"	"28111070"	"Oncology"	"DR23"	"2017-09-29"
"SDY1109"	"CD4 Nicaragua Epitope ID"	""	"Infection Response"	"DR24"	"2017-11-07"
"SDY1115"	"Comparative analysis of neonatal and adult immune responses after in vitro rhinovirus stimulation"	"29045416"	"Immune Response"	"DR23"	"2017-09-29"
"SDY1119"	"Systems Biology of 2011 trivalent Influenza vaccine (TIV) in young and elderly individuals, healthy or with T2D (see companion study SDY61 2007, SDY270 2009, SDY56 2010)"	"26682988"	"Vaccine Response"	"DR29"	"2019-01-16"
"SDY1148"	"Genomic profiles of glioma progression"	"28398584"	"Oncology"	"DR28"	"2018-09-21"
"SDY1149"	"Project 3 - Optimization experiments DCs DV2 and DV4 - MBAA"	"28679950"	"Infection Response"	"DR23"	"2017-09-29"
"SDY1152"	"Phosphorylation profiles of ERK, p38, MAPKs in DCs in response to different pathogenic stimuli"	""	"Infection Response"	"DR23"	"2017-09-29"
"SDY1153"	"Induction of maturation Marker after combinatorial TNFa and IFNb treatment"	""	"Infection Response"	"DR23"	"2017-09-29"
"SDY1154"	"siRNA knock down of RIG-I and TBK1 in DCs"	""	"Immune Response"	"DR23"	"2017-09-29"
"SDY1155"	"RNA-Seq and miRNA-Seq of Human Placenta"	"27452435"	"Preterm Birth"	"DR23"	"2017-09-29"
"SDY1157"	"Immune response throughout human pregnancy"	"28864494"	"Preterm Birth"	"DR23"	"2017-09-29"
"SDY1162"	"Meta-Analysis of Vaginal Microbiome Data Provides New Insights On Preterm Birth"	"23715799","24987521","26283357"	"Preterm Birth"	"DR30"	"2019-04-12"
"SDY1164"	"Vaginal microbial signature for preterm birth"	"28847941"	"Preterm Birth"	"DR27"	"2018-07-06"
"SDY1171"	"Antibody-dependent enhancement of severe dengue disease in humans"	"29097492"	"Infection Response"	"DR25"	"2018-01-04"
"SDY1172"	"Systems Immunology of Malaria"	"23487390","24133188","25210876","25282516","25480293","25919588","26296559","26440897","27506615","28362910","28847005"	"Infection Response"	"DR26"	"2018-05-10"
"SDY1173"	"Genetic Associations with Gestational Duration and Spontaneous Preterm Birth"	"28877031"	"Preterm Birth"	"DR24"	"2017-11-07"
"SDY1175"	"Human microbiome characterization through massive shotgun sequencing of circulating cell-free DNA."	"28830999"	"Preterm Birth"	"DR27"	"2018-07-06"
"SDY1176"	"Extensive homeostatic T cell phenotypic variation within the Collaborative Cross"	""	"Immune Response"	"DR29"	"2019-01-16"
"SDY1178"	"Islet Transplantation in Type 1 Diabetes (CIT-07) and Extended Follow Up after Islet Transplantation in Type 1 Diabetes (CIT-08)"	"23630300","24691031","25524910","25629445","27208344","27465220","27571180","28319051","29563196"	"Transplantation"	"DR31"	"2019-06-19"
"SDY1182"	"35th Multicenter Airway Research Collaboration (MARC-35)"	"27799386","29298732"	"Infection Response"	"DR24"	"2017-11-07"
"SDY1185"	"Dog Sarcoma Therapy"	"28193671"	"Oncology"	"DR25"	"2018-01-04"
"SDY1190"	"Single-cell RNA-Seq analysis of MTB and DENV immune responses"	"29352091"	"Infection Response"	"DR28"	"2018-09-21"
"SDY1205"	"PTB-associated ancestry variants identification through genome-wide analysis"	"29317701"	"Preterm Birth"	"DR25"	"2018-01-04"
"SDY1206"	"Early pregnancy vaginal microbiome trends and preterm birth (see companion study SDY1341)"	"28549981"	"Preterm Birth"	"DR27"	"2018-07-06"
"SDY1215"	"Mitochondrial and Nuclear Ancestry Association to PTB"	"29249523"	"Preterm Birth"	"DR25"	"2018-01-04"
"SDY1217"	"AFR in drug resistance of cisplatin in bladder cancer"	"28082400"	"Oncology"	"DR26"	"2018-05-10"
"SDY1231"	"Immune Monitoring and CNI Withdrawal in Low Risk Recipients of Kidney Transplantation (CTOT-09)"	"25925687"	"Transplantation"	"DR28"	"2018-09-21"
"SDY1249"	"Whole tumor RNA-sequencing and deconvolution of glioma transcriptional signature"	"28881745"	"Oncology"	"DR26"	"2018-05-10"
"SDY1256"	"Small Sample- Big Data: The Gambia"	"30862783"	"Immune Response"	"DR30"	"2019-04-12"
"SDY1260"	"Correlation between human innate and adaptive immune responses to T-cell independent or dependent meningococcal vaccines."	"24336226"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY1264"	"Systems biology approach predicts immunogenicity of the yellow fever vaccine in humans"	"19029902"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY1267"	"Malaria Vaccine in Healthy Adults"	"26148007","28193898"	"Vaccine Response"	"DR31"	"2019-06-19"
"SDY1276"	"Time series of global gene expression after trivalent influenza vaccination in humans"	"21357945","23878721"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY1288"	"Chikungunya virus infection immunoprofiling in pediatric cohort"	"30150281"	"Infection Response"	"DR28"	"2018-09-21"
"SDY1289"	"YFV integrated mulitlineage and polyfunctional responses"	"19047440"	"Vaccine Response"	"DR29"	"2019-01-16"
"SDY1290"	"Dendritic Cell Maturation Dynamics"	"28329707"	"Immune Response"	"DR26"	"2018-05-10"
"SDY1291"	"Merck Ad5/HIV induces broad innate immune activation that predicts CD8_ T-cell responses but is attenuated by preexisting Ad5 immunity."	"23151505"	"Vaccine Response"	"DR28"	"2018-09-21"
"SDY1293"	"Expression of genes associated with immunoproteasome processing of major histocompatibility complex peptides is indicative of protection with adjuvanted RTS,S malaria vaccine."	"20078211"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY1294"	"A Systems Vaccinology Approach Reveals Temporal Transcriptomic Changes of Immune Responses to the Yellow Fever 17D Vaccine."	"28687661"	"Vaccine Response"	"DR30"	"2019-04-12"
"SDY1295"	"Perceived Barriers to Patient Adherence after Pediatric Solid Organ Transplantation (CTOTC-05)"	"26670870"	"Transplantation"	"DR29"	"2019-01-16"
"SDY1298"	"EZH2 as an Therapy Target in Lung Cancer"	"27312177"	"Oncology"	"DR26"	"2018-05-10"
"SDY1299"	"Identification of Three Rheumatoid Arthritis Disease Subtypes By Machine Learning Integration of Synovial Histologic Features and RNA Sequencing Data"	"29468833","30835943"	"Autoimmune"	"DR27"	"2018-07-06"
"SDY1300"	"RG-HRV16 Inoculum Dose Determination"	"30383246"	"Infection Response"	"DR28"	"2018-09-21"
"SDY1302"	"Prematurity, Respiratory outcomes, Immune System, and Microbiome Study (PRISM)"	"29467329"	"Preterm Birth"	"DR31"	"2019-06-19"
"SDY1324"	"Transcriptomic Analysis of CD4+ T Cells Reveals Novel Immune Signatures of Latent Tuberculosis. (See SDY820 for corresponding PBMC results.)"	"29602771"	"Infection Response"	"DR26"	"2018-05-10"
"SDY1325"	"B-cell responses to meningococcal vaccine."	"28137280"	"Vaccine Response"	"DR29"	"2019-01-16"
"SDY1326"	"A proteomic clock of human pregnancy"	"29277631"	"Preterm Birth"	"DR26"	"2018-05-10"
"SDY1327"	"Adaptive and innate immunity in sPTB"	"29867970"	"Preterm Birth"	"DR26"	"2018-05-10"
"SDY1328"	"Transcriptional profiling of HBV-naive subjects before vaccination against Hepatitis A/B viruses, Diphtheria/Tetanus toxoids and Cholera."	"26742691"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY1337"	"Sequence-based HLA-A, B, C, DP, DQ, and DR typing"	"29122684","PMC5788571"	"Immune Response"	"DR27"	"2018-07-06"
